GAL,Uniprot,Annotation
POLR2A,P24928,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PSMB9,P28065,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
PTPRT,O14522,fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RAD54L,P46100,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
RASSF6,Q6ZTQ3,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RESF1,Q9HCM1,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
RFTN1,Q14699,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
RUBCNL,Q9H714,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
RUFY4,Q6ZNE9,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
SAMD9L,Q8IVG5,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
SAP25,Q8TEE9,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SCARF1,Q14162,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
SCN11A,Q9UI33,placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SCN3A,Q9NY46,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SEPTIN6,Q14141,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
SGO2,Q562F6,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SHANK3,Q9BYB0,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SIGLEC10,Q96LC7,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
SIGLEC8,Q9NYZ4,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
SIPA1,Q96FS4,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
SLC25A53,Q5H9E4,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLFN12L,Q6IEE8,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
SNTG1,Q9NSN8,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SPATA13,Q96N96,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
ST8SIA2,Q92186,heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
STAB1,Q9NY15,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TBC1D31,Q96DN5,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
TGM7,Q96PF1,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TIFAB,Q6ZNK6,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TM4SF18,Q96CE8,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TMEM26,Q6ZUK4,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TNC,P24821,smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TNIP3,Q96KP6,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
TOP2A,P11388,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TRAJ53,,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRAJ59,,gallbladder*parathyroid*pituitary*adipose
TRBJ2-3,A0A0B4J200,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRBV10-2,A0A0K0K1G8,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRBV16,A0A087WV62,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRBV6-4,A0A1B0GX49,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRBV9,A0A0B4J1U6,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRDV2,A0JD36,epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRGV1,A0A0A0MS02,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRGV4,A0A0C4DH28,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRGV5,A0A0B4J1U4,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRGV8,A0A0C4DH27,prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
UNC93B1,Q9H1C4,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
WSCD1,Q658N2,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ZNF831,Q5JPB2,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
ZNF860,A6NHJ4,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
PMCH,P20382,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
BARHL1,Q9BZE3,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GABRA6,Q16445,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MOG,Q16653,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HTR2C,P28335,choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
FGF3,P11487,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
NEUROD6,Q96NK8,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HAPLN2,Q9GZV7,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TLX3,O43711,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GABRD,O14764,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HPCA,P84074,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GPR101,Q96P66,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
NTSR2,O95665,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KCNN1,Q92952,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
MEPE,Q9NQ76,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SYNDIG1L,A6NDD5,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CACNG8,Q8WXS5,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
EN2,P19622,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RESP18,Q5W5W9,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KCNA1,Q09470,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SULT4A1,Q9BR01,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
OPALIN,Q96PE5,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TMEM151B,Q8IW70,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CACNA1A,O00555,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PNMA6F,A0A0J9YX94,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RIT2,Q99578,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CCKBR,P32239,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GAP43,P17677,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KCNF1,Q9H3M0,choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ZIC1,Q15915,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CORT,O00230,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KCNJ4,P48050,heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PAQR6,Q6TCH4,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GRM3,Q14832,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HRH3,Q9Y5N1,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KCNV1,Q6PIU1,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RPRML,Q8N4K4,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CAMKV,Q8NCB2,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CBLN3,Q6UW01,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
GSX1,Q9H4S2,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SCRT1,Q9BWW7,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
OLIG2,Q13516,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LHX5,Q9H2C1,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
POU3F2,P20265,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CNTN2,Q02246,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PMP2,P02689,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ANO3,Q9BYT9,epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
